2020-02-07,Biden,"Oh, they didnít miss anything. Itís a long race. I took a hit in Iowa and Iíll probably take a hit here. Traditionally Bernie won by 20 points last time. And usually itís the neighboring senators that do well. But no matter what, Iím still in this for the same reason, we have to restore the soul of this country, bring back the middle class and make sure we bring people together. And so itís a simple proposition. It doesnít matter whether itís this one or the next. Iíve always viewed the first four encounters, two primaries, and two caucuses as the starting point. And so thatís how I view it."
2020-02-07,Biden,"Well, you know that with regard to Senator Sanders, the President wants very much to sic a label on every candidate. Weíre going to not only have to win this time, we have to bring along the United States Senate. And Bernieís labeled himself, not me, a democratic socialist. I think thatís the label that the Presidentís going to lay on everyone running with Bernie if heís a nominee. And a Mayor Buttigieg is a great guy and a real patriot. Heís a mayor of a small city, who has done some good things but has not demonstrated he has the ability to, and weíll soon find out, to get a broad scope of support across the spectrum, including African Americans and Latinos."
2020-02-07,Sanders,"Because Donald Trump lies all the time. It doesnít matter what Donald Trump says, itís a sad state of affairs, it really is. He will say terrible things about Joe, he has [inaudible 00:02:32] ugly, disgusting things about Elizabeth, about Amy, about anybody else who was up here. But I think George, that at the end of the day, the way we defeat Donald Trump and everybody up here by the way, is united. No matter who wins this damn thing, weíre all going to stand together to defeat Donald Trump."
2020-02-07,Sanders,"I believe that the way we beat Trump is by having the largest voter turnout in the history of this country. And that is appealing to working class people, who have given up on the political process because they donít believe that anybody is hearing their pain, perceiving that pain, feeling their pain. And we got to bring young people into the political process. I am very proud that in Iowa we won the popular vote by 6,000 votes. What was most significant, most significant, is we increased voter turnout for young people under 29 by over 30%. If we do that nationally, weíre going to defeat Donald Trump."
2020-02-07,Sanders,"Thatís true. And thatís the disappointment and I think all of us probably could have done a better job in bringing out our supporters. But if there is a good spot, a good aspect about that campaign, is that young people came out in higher numbers than they did during Obamaís historic 2008 campaign. And if that happens nationally, weíre going to win and defeat Trump."
2020-02-07,Sanders,Iím not.
2020-02-07,Klobuchar,"Bernie and I work together all the time. But I think we are not going to be able to out divide the divider in chief. And I think we need someone to head up this ticket that actually brings people with her, instead of shutting them out. And when I look at a state like New Hampshire that had a very, very close election last time in 2016, I see a state that, yes, has a high voter turnout, fired-up Democrats just like my state, which by the way, Bernie, when I led the ticket, had the highest voter turnout of any state in the country. But I add to that being able to bring in independents like you have in this state as well as moderate Republicans. Because there are so many of them out there that are looking for a candidate. And truthfully, Donald Trumpís worst nightmare is a candidate that will bring people in from the middle. The people that are tired of the noise and the nonsense. And they are tired of the tweets and the mean stuff and they are looking for someone else. And I would submit that that is me."
2020-02-07,Steyer,"I donít think thereís any question, George, that after this week thereís a real threat that Donald Trump can get reelected. And I donít think thereís any question, but that the only way that weíre going to beat him actually is the way that Bernie Sanders said, which is to get turnout across the spectrum of democratic voters. And that means weíre going to have to appeal across the spectrum, moderates, progressives and every group. So unless you can appeal to the diverse parts of the Democratic Party, including specifically the black community, including specifically Latinos. If you canít do that, then we canít beat Donald Trump in November and we canít choose a candidate who canít do that. And I am doing that right now with 24% of blacks down in South Carolina, with high numbers in Nevada. Thatís what itís going to take is turnout, but turnout across the spectrum of democratic voters. Someone who can pull, as Amy said, everything together in every single way weíre divided."
2020-02-07,Yang,"First, let me say America, itís great to be back on the debate stage. Thank you. Iím so excited, I want to give every American $1,000 a month. George, the entire capitalism, socialism dichotomy is completely out of date and the fact is when people were talking about these economic models, they did not foresee technology getting stronger, more powerful, capable of doing the work of thousands of humans in the blink of an eye. We have record high corporate profits in this country right now, but people in New Hampshire know, what else are at record highs? Mental illness, stress, debt, substance abuse, overdoses, suicides. What we have to do is actually get the markets working to improve our familyís way of life. Instead of following GDP and corporate profits off a cliff, we should be measuring our own health and wellness, life expectancy, mental health and freedom from substance abuse, clean air, and clean water, how our kids are doing. The way forward is a new human centered version of capitalism that actually uses the markets to improve our familyís lives."
2020-02-07,Warren,"Oh, Bernie and I have been friends for a long time and we have a lot of things in common and we can have a lot of things that we differ on. But thereís fundamental question about how we bring our party together. We have to think about it in new ways. People across this country, whether theyíre Democrats, independents, or Republicans, understand that weíve got a government right now that works great for those at the top. Works great for giant drug companies, just not for people trying to get a prescription filled. Works great for oil companies that want to drill everywhere, just not for the rest of us who see climate change bearing down upon us. When you see a government that works great for those who can hire armies of lobbyists and lawyers and make big campaign donations and itís not working so great for everyone else, that is corruption, pure and simple, and we need to call it out for what it is. Corruption, and thatís what we can run on. We bring our party together."
2020-02-07,Warren,"Itís an issue we can all agree on and fight for to end the corruption. Weíre the Democrats, we should be the party on the side of hardworking people and we can bring in independents and Republicans on that. They hate the corruption as well. My anti-corruption plan, good for Republicans and Democrats. Thatís not only how we bring our party together. Thatís how weíre going to win in November."
2020-02-07,Buttigieg,"Iím not interested in the labels. Iím not interested in what Republicans are going to say. Iím interested in the style of politics that we need to put forward to actually, finally turn the page. In order to win, yes, but also in order to govern. This is a moment where the next president is going to face challenges the likes of which we hadnít even thought of a few years or decades ago. And politically, weíre facing a fundamentally new problem with President Donald Trump. So the biggest risk we could take at a time like this would be to go up against that fundamentally new challenge by trying to fall back on the familiar. Or trying to unite this country at a moment when we need that kind of unification, when our nominee is dividing people with a politics that says, if you donít go all the way to the edge, it doesnít count. A politics that says, itís my way or the highway."
2020-02-07,Buttigieg,"Yes. Because weíve got to bring as many people as we can into this process. Look, all of us have been saying that we can build the majority that itís going to take in order to win. But the process of actually proving it is now underway. And now it comes to New Hampshire, a state that thinks for itself, is not going to be told what to do by anyone and that has a very independent streak that is going to respond to those who are reaching out in a politics of addition and inclusion and belonging. Not one that beats people over the head and says they shouldnít even be on their side if we donít agree 100% of the time."
2020-02-07,Sanders,"Needless to say, Iíve never said that, but let me tell you what I do say. The way you bring people together is by presenting an agenda that works for the working people of this country, not for the billionaire class. The way you bring people together, Republicans, independents, Democrats, progressives, conservatives, you raise the minimum wage to 15 bucks an hour. The way you bring people together is to make it clear that weíre not going to give tax breaks to billionaires and large corporations, theyíre going to start paying their fair share of taxes. Thatís what the American people want. And Iíll tell you something else, the way you bring people together is by ending the international disgrace of this country being the only major nation on Earth not to guarantee healthcare to all people as a human right. And you bring people together by telling the pharmaceutical industry theyíre not going to charge us 10 times more for the same prescription drugs as the people in Canada that borders on New Hampshire. Thatís how you bring people together and you defeat Donald Trump."
2020-02-07,Buttigieg,"I think thereís a better way. Itís true, the American people are ready. Thereís a historic majority right now, even broader than what was available to President Obama a decade ago. There is now a majority ready to act to make sure there is no such thing as an uninsured American and no such thing as an unaffordable prescription. Just so long as we donít command people to accept a public plan if they donít want to. Thatís the idea of Medicare for All Who Want It. My point is, what I am offering is campaigning for all of these things that America wants. Yes, higher wages, doubling the rate of unionization in this country, making corporations and the wealthy pay their fair share, delivering healthcare and college affordability. But also offering a way to do these game changing transformations that will actually galvanize and energize, not polarize the American people. That is not only what we need in order to win, itís what we need in order to govern and actually get these things done."
2020-02-07,Biden,"Look, Bernie says that you have to bring people together and we have to have Medicare for All. But Bernie says, and he says he wrote the damn thing, but heís unwilling to sell us with the damn thingís going to cost. The fact that weíre in New Hampshire, very levelheaded group of people, look at the numbers. How much is it going to cost? Whoís going to pay for it? It will cost more than the entire, the entire federal budget we spend now, more than entire budget. The idea middle class taxes arenít going to go up is just crazy. When they did it in Vermont, what happened? They doubled the state income tax and then had a 14% tax on withholding. And they finally did away with it. So how much is it going to cost? When you ask Bernie that, and Iíll ask him again tonight sometime, and if you ask Bernie that, he says, ìGo figure, I donít know, weíll find out.î"
2020-02-07,Biden,"I think that was on CBS. He said, î Weíll find out.î Or something to that effect. Imagine youíre going to unite the country walking into the Congress, ìI got this bill. Itís going to require Medicare for everybody. I canít tell you how much itís going to cost. Weíll find out later and itís likely to be double whatever Ö everything we spent in the federal government.î Who do you think is going to get that passed? I busted my neck getting Obamacare passed, getting every Democratic vote. I know how hard it is."
